titulo,empresa,ubicacion,salario,descripcion,url
Solution Analyst (OrgBuilder Tribe) - X Delivery,Boston Consulting Group,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Snowflake Data Engineer (x|f|m) – Hybrid,Sartorius,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst - Spain (Madrid),Accommodations Plus International,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
,,,,No disponible,https://es.indeed.com/viewjob?jk=None
Data Delivery Lead (Project Manager),Leroy Merlin España,"Trabajo híbrido in 28108 La Moraleja, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst - (Certificado de Discapacidad),Leroy Merlin España,"Trabajo híbrido in 28108 La Moraleja, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
"Senior Solution Analyst (Smart Banking AI, Core) - X Delivery",Boston Consulting Group,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Structuring Analyst,Repsol,"Arganzuela-Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Insurance Risk Senior Analyst (Italian speaker) - BCG Vantage,Boston Consulting Group,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Junior,Securitas Direct España S.A.U,"28223 Pozuelo de Alarcón, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
ETRM Process Support Senior Analyst,Repsol,"Arganzuela-Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst (Remote),M3EU,"Teletrabajo in Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Grupo Lanit,Teletrabajo in España,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
JUNIOR RESEARCH ANALYST,BBVA,"28050 Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,RightHand,"Teletrabajo in Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
CRO Data Analyst,leadtech,Teletrabajo,Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Junior Data Analyst,Zurich Insurance,"Barcelona, Barcelona provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst (remoto),agap2,Teletrabajo in España,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Makro España,"28005 Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Rev-celerator Graduate Programme 2026: Data Scientist and Analyst,Revolut,Teletrabajo,Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
,,,,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst (Product),Revolut,"Teletrabajo in Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst 2025,Kairos Digital Solutions,"Trabajo híbrido in 28033 Madrid, Madrid provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Wood Mackenzie Inc.,"Trabajo híbrido in 28028 Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
"Junior Data Analyst, Sales Operations",Launchmetrics,"Teletrabajo in 28046 Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,MCEng España,"Teletrabajo in 08015 Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Digital Data Analyst Trainee,BBDO & Proximity,"Trabajo híbrido in Madrid, Madrid provincia",Contrato en prácticas,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Cinesa,"Trabajo híbrido in 08016 Barcelona, Barcelona provincia",Contrato indefinido,No disponible,https://es.indeed.com/viewjob?jk=None
"Desarrollo de soluciones IA - Data Analyst, presencial",Baoss,"Teletrabajo in Valladolid, Valladolid provincia",De 39.000 € a 42.000 € al año,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Intern,Smadex SLU,"08009 Barcelona, Barcelona provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
DATA ANALYST TRAINEE (INTERNSHIP),Grand Hyatt Barcelona,"Barcelona, Barcelona provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Intern,Build38,"Trabajo híbrido in Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Veeva Systems,Teletrabajo,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Operations Response Data Analyst,dLocal,Teletrabajo,Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Revenue Operations (Sales Data Analyst),Viterbit,Teletrabajo in España,"Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
MARKETING DATA ANALYST,Grupo Orenes,"Trabajo híbrido in 28015 Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
"Data Analyst Tableau, SQL (Hybrid Madrid)",UST Global,"Trabajo híbrido in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Kapsch TrafficCom Transportation S.A.U.,"Trabajo híbrido in 28108 La Moraleja, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Junior Data Analyst,ID Logistics,"43717 la Bisbal del Penedès, Tarragona provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Once For All - Nalanda,"Trabajo híbrido in 28023 Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Beca Talentum - Business Data Analyst,Telefónica Germany GmbH & Co. OHG,"Trabajo híbrido in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
,,,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
JUNIOR UNDERWRITTING & VALUATIONS ANALYST,EOS Spain,"Trabajo híbrido in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Business Analyst with Data Analysis Skills | 100% Remote,UST Global,"Teletrabajo in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Grupo Planeta,"Barcelona, Barcelona provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Intern,Launchmetrics,"Trabajo híbrido in 28046 Madrid, Madrid provincia",Contrato en prácticas,No disponible,https://es.indeed.com/viewjob?jk=None
Product Data Analyst,Q-tech,Teletrabajo,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Consultor BI/Data Analyst,Sygris,"Trabajo híbrido in San Sebastián de los Reyes, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Beca Talentum - Business Data Analyst,Telefónica Germany GmbH & Co. OHG,"Trabajo híbrido in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Senior Product Data Analyst,Booksy,Teletrabajo,Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Veeva Systems,Teletrabajo,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
JUNIOR UNDERWRITTING & VALUATIONS ANALYST,EOS Spain,"Trabajo híbrido in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Product Data Analyst,Q-tech,Teletrabajo,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
,,,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Senior Data Analyst (Power BI),Logicalis Spain,"Teletrabajo in 28042 Madrid, Madrid provincia",Contrato indefinido,No disponible,https://es.indeed.com/viewjob?jk=None
Operations Response Data Analyst,dLocal,Teletrabajo,Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Business Analyst Intern,Grupo Planeta,"Barcelona, Barcelona provincia",Contrato en prácticas,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Mad Collective,"Trabajo híbrido in 08007 Barcelona, Barcelona provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
BI Analyst Intern,Criteo,"Trabajo híbrido in 08005 Barcelona, Barcelona provincia",Contrato en prácticas,No disponible,https://es.indeed.com/viewjob?jk=None
LLP - Data Analyst,DHL,"Valencia, Valencia provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Investment banking intern,Caxton Wealth,"28006 Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Business Analyst with Data Analysis Skills | 100% Remote,UST Global,"Teletrabajo in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst / Data Engineer,SEIDOR,"Teletrabajo in Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Digital Supply Chain Analyst - SCM Connections,McKinsey & Company,"Madrid, Madrid provincia",Contrato para la formación y el aprendizaje,No disponible,https://es.indeed.com/viewjob?jk=None
Business Analyst with Data Analysis Skills | 100% Remote,UST Global,"Teletrabajo in Madrid, Madrid provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst / Data Engineer,SEIDOR,"Teletrabajo in Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Digital Supply Chain Analyst - SCM Connections,McKinsey & Company,"Madrid, Madrid provincia",Contrato para la formación y el aprendizaje,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst / Data Engineer (MongoDB),Babel,"Teletrabajo in Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Intern (They/She/He),Glovo,"08005 Barcelona, Barcelona provincia",Contrato en prácticas,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Consultant,Prenomics SL,"Trabajo híbrido in 08001 Barcelona, Barcelona provincia",Contrato indefinido,No disponible,https://es.indeed.com/viewjob?jk=None
Strategy Data Analyst,Diggia Group,"28045 Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
VIE – Data Analyst B2C – Madrid H/F,BNP Paribas,"Madrid, Madrid provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst- Barcelona/Alicante (37256),Banco Sabadell,"Teletrabajo in Sabadell, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
,,,No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
AI & Data Analytics Intern,Perfumes Loewe,"Madrid, Madrid provincia","Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst & Reporting,WebBeds,"Palma de Mallorca, Illes Balears provincia",Jornada completa,No disponible,https://es.indeed.com/viewjob?jk=None
Revenue Operations (Sales Data Analyst),Viterbit,Teletrabajo in España,"Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst,Proton,"Barcelona, Barcelona provincia",No disponible,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst - PowerBI Specialist,Centauro Rent a Car S.L.U.,"Trabajo híbrido in 03509 Finestrat, Alicante provincia",Contrato indefinido,No disponible,https://es.indeed.com/viewjob?jk=None
Data Analyst Scala - 100% Teletrabajo,Azertuim IT,Teletrabajo in España,"Jornada completa
+1",No disponible,https://es.indeed.com/viewjob?jk=None
